Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC260-126_S260_L001	Bact_S126	126	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC261-127_S261_L001	Bact_S127	127	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC262-128_S262_L001	Bact_S128	128	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC263-129_S263_L001	Bact_S129	129	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC313-130_S313_L001	Bact_S130	130	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC34-131_S34_L001	Bact_S131	131	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC35-132_S35_L001	Bact_S132	132	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC36-133_S36_L001	Bact_S133	133	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC37-134_S37_L001	Bact_S134	134	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC38-135_S38_L001	Bact_S135	135	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC39-136_S39_L001	Bact_S136	136	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC40-137_S40_L001	Bact_S137	137	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC314-138_S314_L001	Bact_S138	138	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC41-139_S41_L001	Bact_S139	139	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC42-140_S42_L001	Bact_S140	140	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC282-141_S282_L001	Bact_S141	141	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC43-142_S43_L001	Bact_S142	142	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC44-143_S44_L001	Bact_S143	143	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC45-144_S45_L001	Bact_S144	144	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC315-145_S315_L001	Bact_S145	145	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC316-146_S316_L001	Bact_S146	146	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC317-147_S317_L001	Bact_S147	147	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC318-148_S318_L001	Bact_S148	148	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC319-149_S319_L001	Bact_S149	149	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC283-150_S283_L001	Bact_S150	150	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC284-151_S284_L001	Bact_S151	151	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC320-152_S320_L001	Bact_S152	152	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC321-153_S321_L001	Bact_S153	153	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC285-154_S285_L001	Bact_S154	154	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC286-155_S286_L001	Bact_S155	155	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC322-156_S322_L001	Bact_S156	156	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC323-157_S323_L001	Bact_S157	157	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC324-158_S324_L001	Bact_S158	158	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC325-159_S325_L001	Bact_S159	159	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
BactV5V7-BC326-160_S326_L001	Bact_S160	160	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC327-161_S327_L001	Bact_S161	161	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC328-162_S328_L001	Bact_S162	162	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC287-163_S287_L001	Bact_S163	163	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
BactV5V7-BC46-164_S46_L001	Bact_S164	164	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC47-165_S47_L001	Bact_S165	165	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC48-166_S48_L001	Bact_S166	166	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC49-167_S49_L001	Bact_S167	167	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC50-168_S50_L001	Bact_S168	168	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
BactV5V7-BC329-169_S329_L001	Bact_S169	169	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
BactV5V7-BC330-170_S330_L001	Bact_S170	170	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
BactV5V7-BC288-171_S288_L001	Bact_S171	171	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
BactV5V7-BC51-172_S51_L001	Bact_S172	172	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC52-173_S52_L001	Bact_S173	173	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
BactV5V7-BC53-174_S53_L001	Bact_S174	174	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
