Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
89;BactV5V7-BC371-242_S371_L001;Bact_S242;242;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.54545819214248;0.0917615760105841
90;BactV5V7-BC372-243_S372_L001;Bact_S243;243;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.42310734869154;0.0917615760105841
91;BactV5V7-BC373-244_S373_L001;Bact_S244;244;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.68000887507197;0.0612823453184508
92;BactV5V7-BC374-245_S374_L001;Bact_S245;245;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.89844381515037;0.0612823453184508
93;BactV5V7-BC375-246_S375_L001;Bact_S246;246;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.66282895739986;0.0612823453184508
94;BactV5V7-BC376-247_S376_L001;Bact_S247;247;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.66680392225865;0.0612823453184508
95;BactV5V7-BC377-248_S377_L001;Bact_S248;248;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.63287167669173;0.0917615760105841
96;BactV5V7-BC378-249_S378_L001;Bact_S249;249;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.58389975130866;0.0917615760105841
97;BactV5V7-BC4-12_S4_L001;Bact_S12;12;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.80120446966925;0.79197087765874
98;BactV5V7-BC56-178_S56_L001;Bact_S178;178;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;3.39122967803264;0.0376669222286287
99;BactV5V7-BC57-179_S57_L001;Bact_S179;179;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.76520585206452;0.0376669222286287
100;BactV5V7-BC58-180_S58_L001;Bact_S180;180;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.25580816212371;0.0376669222286287
101;BactV5V7-BC59-181_S59_L001;Bact_S181;181;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.24324909884752;0.0376669222286287
102;BactV5V7-BC6-15_S6_L001;Bact_S15;15;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.24915379789748;0.79197087765874
103;BactV5V7-BC60-182_S60_L001;Bact_S182;182;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.08402628208469;0.0376669222286287
104;BactV5V7-BC61-183_S61_L001;Bact_S183;183;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.58926557851455;0.0376669222286287
105;BactV5V7-BC62-184_S62_L001;Bact_S184;184;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.54500062479878;0.0376669222286287
106;BactV5V7-BC63-185_S63_L001;Bact_S185;185;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.831903183289445;0.0376669222286287
107;BactV5V7-BC64-195_S64_L001;Bact_S195;195;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;2.62198173464025;0.0376669222286287
108;BactV5V7-BC65-196_S65_L001;Bact_S196;196;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;2.16699344523859;0.0376669222286287
109;BactV5V7-BC66-197_S66_L001;Bact_S197;197;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;2.1921791006726;0.0376669222286287
