X.Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC138-79_S138_L001	Fun_S79	79	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC139-80_S139_L001	Fun_S80	80	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
FunITS-BC140-81_S140_L001	Fun_S81	81	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC141-82_S141_L001	Fun_S82	82	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC142-83_S142_L001	Fun_S83	83	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC143-84_S143_L001	Fun_S84	84	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC144-85_S144_L001	Fun_S85	85	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC153-86_S153_L001	Fun_S86	86	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC154-87_S154_L001	Fun_S87	87	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC155-88_S155_L001	Fun_S88	88	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
