#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC25-184_S25_L001	184	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC26-185_S26_L001	185	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC27-186_S27_L001	186	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC28-187_S28_L001	187	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC29-188_S29_L001	188	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC30-189_S30_L001	189	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC31-190_S31_L001	190	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC32-191_S32_L001	191	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC33-192_S33_L001	192	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC34-193_S34_L001	193	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC35-194_S35_L001	194	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC36-195_S36_L001	195	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC37-196_S37_L001	196	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC38-197_S38_L001	197	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC39-198_S39_L001	198	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
FunITS-BC40-199_S40_L001	199	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
FunITS-BC41-200_S41_L001	200	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
